id;dni;nombre;apellido;fecha_nacimiento;tipo_alumno;nota_promedio
1;8504;because;scheme experience upon;2025-11-07;REGULAR;19229.24
2;9948;selfish collaboration hidden;lowball;2025-11-07;REGULAR;668
3;25821;meanwhile sharply;so;2025-11-08;PROMOCIONAL;494.16
4;11092;commercial operating hm;intrepid;2025-11-07;PROMOCIONAL;15699.11
5;14279;pliers beyond airbus;accidentally;2025-11-08;PROMOCIONAL;282.02
6;27482;hmph;aha;2025-11-08;LIBRE;10101.36
7;10851;um;from boohoo hm;2025-11-08;REGULAR;8995
8;465;inferior brr accentuate;duh secondary mutate;2025-11-08;REGULAR;3630.08
9;8442;cool sport victoriously;blah far rout;2025-11-08;REGULAR;20744.95
10;11425;requite;among scramble;2025-11-08;LIBRE;8991.52
